Instance,N,M,Setup,Release,constructive_cmax,lahc_cmax,SA_cmax,RSA_cmax,Best_cmax,lahc_runtime,SA_runtime,RSA_runtime,lahc_timeToBest,SA_timeToBest,RSA_timeToBest,RPD LAHC,RPD_SA,RPD RSA
I_1000_08_S_1-009_R_1.4_08.txt,1000.0,8.0,1-009,1.4,69857.0,69856.0,69855.0,69855.0,69855.0,4000.27,4005.37,4002.66,4.23,2043.35,592.0,0.0,0.0,0.0
I_400_06_S_1-049_R_1.8_09.txt,400.0,6.0,1-049,1.8,36749.0,36745.0,36744.0,36744.0,36744.0,1200.08,1200.09,1200.63,41.34,767.02,364.35,0.0,0.0,0.0
I_020_08_S_1-099_R_1.8_09.txt,20.0,8.0,1-099,1.8,1697.0,1675.0,1675.0,1675.0,1675.0,9.53,2.49,3.66,0.0,0.0,0.0,0.0,0.0,0.0
I_1000_06_S_1-099_R_1.4_08.txt,1000.0,6.0,1-099,1.4,68476.0,68474.0,68473.0,68472.0,68472.0,3003.54,3007.38,3016.42,10.6,2835.87,1966.28,0.0,0.0,0.0
I_200_06_S_1-009_R_1.8_10.txt,200.0,6.0,1-009,1.8,18291.0,18290.0,18290.0,18290.0,18290.0,600.09,600.05,600.05,210.35,7.59,2.33,0.0,0.0,0.0
I_1000_08_S_1-049_R_1.0_06.txt,1000.0,8.0,1-049,1.0,49904.0,49904.0,49904.0,49903.0,49903.0,4000.41,4004.44,4003.55,2.48,0.0,434.8,0.0,0.0,0.0
I_1000_08_S_1-099_R_0.2_01.txt,1000.0,8.0,1-099,0.2,10048.0,10030.0,10038.0,10037.0,10030.0,4001.36,4001.65,4004.01,2598.17,2415.96,2402.65,0.0,0.0008,0.0007
I_400_06_S_1-009_R_1.4_07.txt,400.0,6.0,1-009,1.4,28009.0,28002.0,28001.0,28001.0,28001.0,1200.2,1200.32,1200.68,0.44,305.41,24.82,0.0,0.0,0.0
I_1000_08_S_1-009_R_1.8_09.txt,1000.0,8.0,1-009,1.8,89927.0,89926.0,89925.0,89925.0,89925.0,4003.86,4002.96,4013.05,4.79,789.51,444.82,0.0,0.0,0.0
I_800_02_S_1-099_R_0.2_01.txt,800.0,2.0,1-099,0.2,18016.0,16861.0,16561.0,16621.0,16561.0,813.81,809.32,800.03,719.71,796.83,771.38,0.0181,0.0,0.0036
I_1000_04_S_1-099_R_0.2_01.txt,1000.0,4.0,1-099,0.2,10107.0,10074.0,10073.0,10070.0,10070.0,2006.46,2008.28,2001.72,110.16,982.31,1865.03,0.0004,0.0003,0.0
I_600_04_S_1-009_R_1.4_08.txt,600.0,4.0,1-009,1.4,41979.0,41975.0,41975.0,41974.0,41974.0,1200.84,1202.72,1206.3,1.73,0.0,978.03,0.0,0.0,0.0
I_400_06_S_1-099_R_0.2_01.txt,400.0,6.0,1-099,0.2,4062.0,4038.0,4038.0,4038.0,4038.0,1200.17,1200.06,1200.11,147.9,22.21,21.55,0.0,0.0,0.0
100on6Rp50Rs50Rr1.8_13_Rabadi.txt,100.0,6.0,50-100,1.8,13385.0,13367.0,13367.0,13367.0,13367.0,300.01,141.08,107.71,0.01,0.0,0.02,0.0,0.0,0.0
